transaction_id,amount,merchant,location,card_type,is_fraud
TXN_000001,24.88,eBay,Houston,Visa,0
TXN_000002,486.99,eBay,Dallas,Visa,1
TXN_000003,28.69,Walmart,Houston,Amex,0
TXN_000004,451.19,BestBuy,SanAntonio,Visa,0
TXN_000005,226.16,Amazon,SanFrancisco,Visa,0
TXN_000006,275.5,Walmart,Houston,MasterCard,0
TXN_000007,1263.8,Amazon,Philadelphia,MasterCard,1
TXN_000008,585.14,BestBuy,LosAngeles,MasterCard,0
TXN_000009,1020.9,eBay,Charlotte,Amex,1
TXN_000010,565.13,Amazon,Austin,Visa,0
TXN_000011,788.25,Walmart,Columbus,Visa,0
TXN_000012,365.46,eBay,Chicago,MasterCard,0
TXN_000013,537.79,Amazon,SanJose,Amex,0
TXN_000014,2241.56,Amazon,SanAntonio,Visa,1
TXN_000015,552.09,Walmart,Austin,MasterCard,0
TXN_000016,621.92,Walmart,Columbus,Visa,0
TXN_000017,323.93,Amazon,Houston,Amex,0
TXN_000018,255.17,Target,SanAntonio,Amex,0
TXN_000019,215.58,Walmart,Jacksonville,Amex,0
TXN_000020,598.88,Target,Charlotte,Amex,0
TXN_000021,179.36,Walmart,Dallas,MasterCard,0
TXN_000022,331.93,Amazon,Austin,Visa,1
TXN_000023,479.15,Target,SanAntonio,Amex,0
TXN_000024,425.65,BestBuy,Columbus,Visa,0
TXN_000025,96.07,BestBuy,SanFrancisco,MasterCard,0
TXN_000026,275.44,eBay,SanAntonio,Visa,0
TXN_000027,763.28,eBay,Dallas,Visa,0
TXN_000028,89.6,eBay,Columbus,Amex,0
TXN_000029,163.13,eBay,SanFrancisco,Visa,0
TXN_000030,624.01,BestBuy,Charlotte,Visa,0
TXN_000031,393.44,Amazon,Charlotte,MasterCard,0
TXN_000032,666.17,eBay,Houston,Visa,0
TXN_000033,1788.6,Amazon,Jacksonville,Visa,1
TXN_000034,2329.69,eBay,Chicago,MasterCard,1
TXN_000035,136.28,BestBuy,Columbus,Amex,0
TXN_000036,173.38,BestBuy,SanFrancisco,Amex,0
TXN_000037,571.79,Target,Austin,Amex,0
TXN_000038,720.19,Target,LosAngeles,Visa,0
TXN_000039,1146.64,Walmart,Houston,MasterCard,1
TXN_000040,2181.95,Amazon,LosAngeles,Amex,1
TXN_000041,61.33,Walmart,Phoenix,Amex,0
TXN_000042,433.69,BestBuy,SanJose,MasterCard,0
TXN_000043,1524.32,Walmart,LosAngeles,Visa,1
TXN_000044,341.75,Target,Columbus,Amex,0
TXN_000045,2029.68,eBay,NewYork,Visa,1
TXN_000046,690.03,Walmart,Houston,Visa,0
TXN_000047,116.44,Walmart,Phoenix,MasterCard,0
TXN_000048,2785.14,Walmart,Columbus,Amex,1
TXN_000049,2026.01,Walmart,NewYork,Amex,1
TXN_000050,679.71,Walmart,SanAntonio,MasterCard,0
TXN_000051,692.4,Amazon,Chicago,MasterCard,0
TXN_000052,1293.18,BestBuy,SanFrancisco,Visa,1
TXN_000053,766.07,BestBuy,Austin,Amex,0
TXN_000054,155.97,Walmart,NewYork,Amex,0
TXN_000055,53.46,eBay,NewYork,Visa,0
TXN_000056,404.77,BestBuy,Chicago,Visa,0
TXN_000057,68.69,Walmart,LosAngeles,Amex,0
TXN_000058,2613.09,Walmart,Charlotte,MasterCard,1
TXN_000059,36.59,Amazon,SanAntonio,Amex,0
TXN_000060,420.61,eBay,Houston,Amex,0
TXN_000061,194.76,Target,Chicago,Amex,0
TXN_000062,368.49,Amazon,NewYork,MasterCard,0
TXN_000063,452.58,Amazon,LosAngeles,Amex,0
TXN_000064,942.56,BestBuy,Charlotte,Visa,1
TXN_000065,997.96,Walmart,Dallas,MasterCard,1
TXN_000066,789.85,BestBuy,NewYork,Amex,0
TXN_000067,243.01,Amazon,Charlotte,Visa,0
TXN_000068,2691.2,eBay,Chicago,Visa,1
TXN_000069,575.5,Walmart,Austin,Amex,0
TXN_000070,406.8,eBay,Charlotte,Visa,0
TXN_000071,1386.01,Amazon,NewYork,Visa,1
TXN_000072,2943.43,Amazon,SanDiego,MasterCard,1
TXN_000073,12.69,Amazon,Charlotte,Amex,0
TXN_000074,438.74,eBay,SanJose,Amex,0
TXN_000075,556.85,Amazon,Charlotte,Amex,1
TXN_000076,36.72,eBay,Houston,Amex,0
TXN_000077,487.82,eBay,Charlotte,Amex,1
TXN_000078,600.83,Walmart,Columbus,Visa,0
TXN_000079,649.56,Target,NewYork,Visa,0
TXN_000080,269.09,Target,SanFrancisco,Amex,0
TXN_000081,649.55,eBay,Chicago,Amex,0
TXN_000082,2642.07,Target,Houston,Visa,1
TXN_000083,282.98,Walmart,Houston,Visa,0
TXN_000084,321.78,eBay,Columbus,Visa,0
TXN_000085,226.9,BestBuy,SanAntonio,Amex,0
TXN_000086,431.29,Amazon,LosAngeles,MasterCard,0
TXN_000087,2895.1,Amazon,LosAngeles,MasterCard,1
TXN_000088,630.21,Target,SanJose,Amex,0
TXN_000089,2718.61,Amazon,NewYork,MasterCard,1
TXN_000090,2791.61,Walmart,Jacksonville,Amex,1
TXN_000091,161.64,Target,LosAngeles,Amex,0
TXN_000092,500.41,Amazon,Jacksonville,MasterCard,0
TXN_000093,535.18,eBay,SanAntonio,Amex,0
TXN_000094,556.41,Walmart,SanAntonio,MasterCard,1
TXN_000095,494.33,eBay,SanAntonio,Amex,0
TXN_000096,246.58,Walmart,SanAntonio,Amex,0
TXN_000097,261.19,Target,SanDiego,Amex,0
TXN_000098,1524.92,BestBuy,SanFrancisco,MasterCard,1
TXN_000099,230.61,BestBuy,Philadelphia,Visa,0
TXN_000100,602.15,eBay,Houston,Visa,0
TXN_000101,329.4,BestBuy,SanJose,Amex,1
TXN_000102,1360.43,eBay,Houston,MasterCard,1
TXN_000103,322.72,Walmart,Austin,Amex,0
TXN_000104,2302.7,eBay,LosAngeles,MasterCard,1
TXN_000105,2451.51,eBay,SanDiego,Visa,1
TXN_000106,2575.34,Walmart,SanFrancisco,Visa,1
TXN_000107,449.35,eBay,SanFrancisco,MasterCard,0
TXN_000108,576.82,BestBuy,SanAntonio,Amex,0
TXN_000109,131.53,Target,SanDiego,MasterCard,0
TXN_000110,672.69,eBay,SanFrancisco,Amex,0
TXN_000111,195.2,Target,LosAngeles,Amex,0
TXN_000112,960.8,Amazon,Dallas,Visa,1
TXN_000113,1272.5,Amazon,Houston,Visa,1
TXN_000114,436.38,Target,NewYork,Visa,0
TXN_000115,314.63,BestBuy,Jacksonville,Visa,0
TXN_000116,613.65,Target,SanDiego,Visa,0
TXN_000117,242.4,Target,Columbus,MasterCard,0
TXN_000118,589.03,BestBuy,Charlotte,Visa,0
TXN_000119,221.98,Target,NewYork,MasterCard,0
TXN_000120,544.92,Target,Jacksonville,Visa,0
TXN_000121,736.04,BestBuy,Dallas,Visa,0
TXN_000122,475.55,Amazon,LosAngeles,Amex,0
TXN_000123,694.15,Walmart,NewYork,MasterCard,0
TXN_000124,173.27,eBay,Philadelphia,MasterCard,0
TXN_000125,2863.37,Walmart,Columbus,Visa,1
TXN_000126,1710.37,BestBuy,Philadelphia,Visa,1
TXN_000127,2880.4,Amazon,NewYork,Amex,1
TXN_000128,257.06,Amazon,Chicago,Visa,1
TXN_000129,2853.72,Walmart,Phoenix,MasterCard,1
TXN_000130,1900.29,eBay,LosAngeles,MasterCard,1
TXN_000131,1070.91,Walmart,Charlotte,Visa,1
TXN_000132,766.75,Target,Jacksonville,Visa,0
TXN_000133,2133.72,eBay,LosAngeles,MasterCard,1
TXN_000134,548.99,Amazon,SanFrancisco,Amex,0
TXN_000135,281.03,Target,Austin,MasterCard,0
TXN_000136,2013.12,Amazon,SanAntonio,Amex,1
TXN_000137,2890.21,eBay,Columbus,Visa,1
TXN_000138,693.18,Walmart,Austin,Visa,1
TXN_000139,432.85,Target,SanDiego,MasterCard,0
TXN_000140,476.02,eBay,Columbus,Visa,0
TXN_000141,73.9,Target,Houston,MasterCard,0
TXN_000142,536.21,eBay,NewYork,MasterCard,0
TXN_000143,149.56,Walmart,Philadelphia,MasterCard,0
TXN_000144,704.85,eBay,Dallas,Visa,0
TXN_000145,156.89,Walmart,Jacksonville,MasterCard,0
TXN_000146,607.74,Target,Austin,Amex,0
TXN_000147,635.38,Amazon,Phoenix,Visa,0
TXN_000148,198.43,BestBuy,Philadelphia,MasterCard,0
TXN_000149,278.29,BestBuy,Philadelphia,MasterCard,0
TXN_000150,220.38,eBay,Houston,Visa,0
TXN_000151,255.86,BestBuy,SanFrancisco,Amex,0
TXN_000152,805.88,Walmart,Jacksonville,MasterCard,1
TXN_000153,479.45,Amazon,Columbus,Visa,0
TXN_000154,1210.47,Amazon,Jacksonville,MasterCard,1
TXN_000155,2928.03,Walmart,Jacksonville,Amex,1
TXN_000156,603.47,Amazon,Columbus,Visa,0
TXN_000157,378.17,Target,Philadelphia,Visa,0
TXN_000158,205.72,Target,LosAngeles,Visa,0
TXN_000159,63.9,Amazon,Chicago,Visa,0
TXN_000160,759.55,Amazon,Houston,Visa,0
TXN_000161,335.86,BestBuy,SanFrancisco,Amex,0
TXN_000162,1663.2,Walmart,SanDiego,Visa,1
TXN_000163,345.92,BestBuy,SanJose,Visa,0
TXN_000164,593.37,Walmart,Austin,Visa,0
TXN_000165,427.32,Amazon,Dallas,Visa,1
